aggregated_date,id,protocol_name,category,type,chain_name,total_quantity,total_value_usd
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,5336380.31016,16370695574.89962
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,5336380.310160001,16370695574.89962
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,5336380.31016,16370695574.89962
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,5336380.310159999,16370695574.899618
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,5336380.31016,16370695574.899624
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,5336380.310160001,16370695574.899622
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,5336380.310159999,16370695574.899626
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,5336380.310160002,16370695574.899618
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,5336380.31016,16370695574.899626
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,5336380.310160001,16370695574.89962
2021-04-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,1028965.9189800002,3165663006.2211595
2021-04-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,11223.281759999998,32536173.6921
2021-04-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum,19552.833720000002,70034285.77854
2021-04-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",staking,19552.833720000002,70034285.77854
2021-04-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum-staking,19552.833720000002,70034285.77854002
2021-04-01,229,Gnosis Protocol v1,Prediction Market,"Infrastructure, Services & Financial Products",Ethereum,9.444720000000002,27895.12056
2021-04-01,266,Set Protocol,Indexes,"Infrastructure, Services & Financial Products",Ethereum,137136.94278,327642299.13276
2021-04-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,1134334.4656200001,3476568631.9169407
2021-04-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,1134334.4656200004,3476568631.91694
2021-04-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,1134334.4656200001,3476568631.9169397
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,6705792.6551399985,30010319684.756283
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,6705792.655139996,30010319684.75628
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,6705792.6551399985,30010319684.756268
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,6705792.6551399985,30010319684.756283
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,6705792.655140001,30010319684.75628
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,6705792.6551399985,30010319684.756283
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,6705792.655139999,30010319684.756275
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,6705792.6551399985,30010319684.75627
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,6705792.655140001,30010319684.756268
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,6705792.6551399985,30010319684.75628
2021-05-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,6705792.6551399985,30010319684.756283
2021-05-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,672521.0721000002,3293677085.47044
2021-05-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,4970.0779200000015,21919710.108659998
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Avalanche,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Scroll,1.9654799999999997,6675.23082
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,zkSync Era,1.9654799999999997,6675.230819999999
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Velas,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Binance,1.9654799999999997,6675.230820000002
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Cronos,1.9654799999999997,6675.23082
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Arbitrum,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Optimism,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Oasis,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Bittorrent,1.9654799999999997,6675.230820000002
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Linea,1.9654799999999997,6675.23082
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Polygon,1.9654799999999997,6675.230820000002
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Ethereum,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Fantom,1.9654799999999997,6675.230820000001
2021-05-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Aurora,1.9654799999999997,6675.23082
2021-05-01,129,xDAI Stake Bridge,Chain,"Infrastructure, Services & Financial Products",Ethereum,4897.735559999999,16572329.266259994
2021-05-01,162,Bancor V2.1,Dexes,Trading & Exchanges,Ethereum,304482.58583999996,1029951311.3220601
2021-05-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum-staking,33286.11869999997,147995231.39706
2021-05-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",staking,33286.118699999985,147995231.39705998
2021-05-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum,33286.118699999985,147995231.39706
2021-05-01,221,Defi Swap,Dexes,Trading & Exchanges,Ethereum,209.73251999999994,710328.1117199999
2021-05-01,222,DeFiner,Lending,"Lending, Borrowing & Real World Assets",Polygon,6.269340000000002,21291.853680000004
2021-05-01,222,DeFiner,Lending,"Lending, Borrowing & Real World Assets",Ethereum,6.269340000000002,21291.853680000004
2021-05-01,222,DeFiner,Lending,"Lending, Borrowing & Real World Assets",OKExChain,6.269340000000002,21291.853680000004
2021-05-01,224,Domani Protocol,Indexes,"Infrastructure, Services & Financial Products",Avalanche,0.02507999999999999,86.26151999999999
2021-05-01,224,Domani Protocol,Indexes,"Infrastructure, Services & Financial Products",Ethereum,0.02507999999999999,86.26152
2021-05-01,224,Domani Protocol,Indexes,"Infrastructure, Services & Financial Products",zkSync Era,0.02507999999999999,86.26151999999998
2021-05-01,225,Enzyme Finance,Indexes,"Infrastructure, Services & Financial Products",Polygon,12888.586200000009,46893963.745620005
2021-05-01,225,Enzyme Finance,Indexes,"Infrastructure, Services & Financial Products",Ethereum,12888.586200000009,46893963.745620005
2021-05-01,229,Gnosis Protocol v1,Prediction Market,"Infrastructure, Services & Financial Products",Ethereum,28.33415999999999,99563.31078000001
2021-05-01,230,IDEX,Dexes,Trading & Exchanges,Ethereum,134.21363999999994,455790.5691000001
2021-05-01,230,IDEX,Dexes,Trading & Exchanges,Polygon,134.21363999999994,455790.56909999996
2021-05-01,241,PowerPool,Indexes,"Infrastructure, Services & Financial Products",Ethereum,11863.352580000002,40048871.17751999
2021-05-01,241,PowerPool,Indexes,"Infrastructure, Services & Financial Products",Binance,11863.352580000002,40048871.17751999
2021-05-01,266,Set Protocol,Indexes,"Infrastructure, Services & Financial Products",Ethereum,395940.32178,1346882080.2487204
2021-05-01,344,ZKSwap,Chain,"Infrastructure, Services & Financial Products",Ethereum,1427.7048,5329173.311399999
2021-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,578852.7163200001,2717371694.891881
2021-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,578852.7163200002,2717371694.891881
2021-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,578852.7163200001,2717371694.8918815
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Polygon,330608.25186,1282409130.6438
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Arbitrum,330608.25186,1282409130.6438005
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Moonbeam,330608.2518600001,1282409130.6438
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Optimism,330608.25185999996,1282409130.6438
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Avalanche,330608.2518599999,1282409130.6438
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Base,330608.2518599999,1282409130.6437998
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Binance,330608.2518600001,1282409130.6438
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Celo,330608.25185999996,1282409130.6438003
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,Ethereum,330608.25186,1282409130.6438003
2021-05-01,2198,Uniswap V3,Dexes,Trading & Exchanges,zkSync Era,330608.25186,1282409130.6438003
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Ethereum,18674.22077999999,65300809.85316003
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Arbitrum,18674.220779999996,65300809.85316002
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Polygon,18674.220779999996,65300809.85316001
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Base,18674.22078,65300809.85316
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Polygon zkEVM,18674.220779999996,65300809.85316001
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,Avalanche,18674.220779999996,65300809.853159994
2021-05-01,2611,Balancer V2,Dexes,Trading & Exchanges,xDai,18674.22078,65300809.85316001
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,7774568.706179999,22117501606.081444
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,7774568.706180001,22117501606.081436
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,7774568.706179997,22117501606.08144
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,7774568.706179999,22117501606.081436
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,7774568.706179999,22117501606.08143
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,7774568.70618,22117501606.081436
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,7774568.706180001,22117501606.081432
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,7774568.706179999,22117501606.081444
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,7774568.706179997,22117501606.081436
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,7774568.70618,22117501606.081432
2021-06-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,7774568.706180001,22117501606.081436
2021-06-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,756807.9911399997,2325251849.296559
2021-06-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,2393.787960000001,7385585.049240001
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Optimism,5.360399999999999,15402.649499999998
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Fantom,5.360399999999999,15402.649499999996
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Scroll,5.360399999999999,15402.649499999992
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Aurora,5.360399999999999,15402.649499999994
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Bittorrent,5.360399999999999,15402.649499999992
