id,name,chain,category,type,github,twitter,oracles,project_count
1674,Lemuria Finance,Milkomeda,Yield Aggregator,Asset Management,,LemuriaFinance,[TWAP],1
2857,Frogge.Finance,EOS EVM,Dexes,Trading & Exchanges,,,[],1
1076,ArbiCheems,Arbitrum,Yield,Asset Management,,,,1
3037,Range Protocol,Ethereum,Liquidity manager,Asset Management,,Range_Protocol,,1
709,pSTAKE Finance,Persistence,Liquid Staking,Asset Management,,pStakeFinance,,1
1422,Winkyverse,Binance,Services,"Infrastructure, Services & Financial Products",,thewinkies1,[],1
2887,Array,Arbitrum,Farm,"Infrastructure, Services & Financial Products",,array_capital,[],1
1372,Superman Swap,Binance,Yield Aggregator,Asset Management,,SwapSuperman,,1
2337,STON.fi,TON,Dexes,Trading & Exchanges,,ston_fi,[],1
364,Volmex,Ethereum,Yield,Asset Management,[volmexfinance],volmexfinance,,1
1357,ADAX Pro,Cardano,Dexes,Trading & Exchanges,,adax_pro,,1
950,ARCx,Ethereum,Insurance,"Infrastructure, Services & Financial Products",[arcxgame],arcxmoney,,1
285,Opyn Gamma,Ethereum,Options,Trading & Exchanges,,opyn_,[Chainlink],1
3246,Sobal,Neon,Dexes,Trading & Exchanges,[Sobal],sobalfi,[],1
2871,Kimberlite,Binance,Yield,Asset Management,,KimberliteLabs,[],1
1328,Astral Farm,Fantom,Farm,"Infrastructure, Services & Financial Products",,Astral_FTM,[],1
1772,ApolloX,Binance,Derivatives,Trading & Exchanges,[apollox-finance],ApolloX_Finance,,1
1701,Yup,Ethereum,Services,"Infrastructure, Services & Financial Products",[Yup-io],yup_io,[],1
1078,Polkastarter,Ethereum,Launchpad,"Infrastructure, Services & Financial Products",[polkastarter],polkastarter,[DIA],1
2176,Arctic,Aurora,Dexes,Trading & Exchanges,,Arctic_trade,[],1
2761,Hector Lending,Fantom,Lending,"Lending, Borrowing & Real World Assets",,Hector_Network,[],1
2249,Dexible V2,Ethereum,Dexes,Trading & Exchanges,,DexibleApp,,1
2127,Cowaii Cash,Dogechain,Algo-Stables,Asset Management,,CowaiiTomb,[TWAP],1
3184,Jet Margin,Solana,Lending,"Lending, Borrowing & Real World Assets",,JetProtocol,[Pyth],1
