date,type,totalLiquidityUSD
2018-11-28 00:00:00,"Infrastructure, Services & Financial Products",0.00019201094567
2018-11-28 00:00:00,Trading & Exchanges,0.00017156319808
2018-11-29 00:00:00,"Infrastructure, Services & Financial Products",0.00019133135908
2018-11-29 00:00:00,Trading & Exchanges,0.00020127987539
2018-11-30 00:00:00,"Infrastructure, Services & Financial Products",0.00019130523882
2018-11-30 00:00:00,Trading & Exchanges,0.00019986713865
2018-12-01 00:00:00,"Infrastructure, Services & Financial Products",0.00019218890881
2018-12-01 00:00:00,Trading & Exchanges,0.00019185671436000001
2018-12-02 00:00:00,"Infrastructure, Services & Financial Products",0.00019228454342999998
2018-12-02 00:00:00,Trading & Exchanges,0.00020462022306
2018-12-03 00:00:00,"Infrastructure, Services & Financial Products",0.00019207600356000001
2018-12-03 00:00:00,Trading & Exchanges,0.00020545228193
2018-12-04 00:00:00,"Infrastructure, Services & Financial Products",0.00019223263233
2018-12-04 00:00:00,Trading & Exchanges,0.00020846469508000002
2018-12-05 00:00:00,"Infrastructure, Services & Financial Products",0.00019194376295
2018-12-05 00:00:00,Trading & Exchanges,0.00021910354285
2018-12-06 00:00:00,"Infrastructure, Services & Financial Products",0.00019095143991
2018-12-06 00:00:00,Trading & Exchanges,0.00020213469838
2018-12-07 00:00:00,"Infrastructure, Services & Financial Products",0.00019092521804
2018-12-07 00:00:00,Trading & Exchanges,0.00019026121914
2018-12-08 00:00:00,"Infrastructure, Services & Financial Products",0.00019164995746000002
2018-12-08 00:00:00,Trading & Exchanges,0.00019661720952000001
2018-12-09 00:00:00,"Infrastructure, Services & Financial Products",0.00019200351454000001
2018-12-09 00:00:00,Trading & Exchanges,0.00026163587286
2018-12-10 00:00:00,"Infrastructure, Services & Financial Products",0.00019107738022
2018-12-10 00:00:00,Trading & Exchanges,0.00029279851008
2018-12-11 00:00:00,"Infrastructure, Services & Financial Products",0.00019084389554
2018-12-11 00:00:00,Trading & Exchanges,0.00029359625263
2018-12-12 00:00:00,"Infrastructure, Services & Financial Products",0.00019135832339999998
2018-12-12 00:00:00,Trading & Exchanges,0.00028636279966
2018-12-13 00:00:00,"Infrastructure, Services & Financial Products",0.00019161753945000002
2018-12-13 00:00:00,Trading & Exchanges,0.00029857959022999995
2018-12-14 00:00:00,"Infrastructure, Services & Financial Products",0.00019061181204
2018-12-14 00:00:00,Trading & Exchanges,0.00029861466106999995
2018-12-15 00:00:00,"Infrastructure, Services & Financial Products",0.00019160077489
2018-12-15 00:00:00,Trading & Exchanges,0.00028118789088
2018-12-16 00:00:00,"Infrastructure, Services & Financial Products",0.0001911929079
2018-12-16 00:00:00,Trading & Exchanges,0.00027506559442
2018-12-17 00:00:00,"Infrastructure, Services & Financial Products",0.00019143342836
2018-12-17 00:00:00,Trading & Exchanges,0.00030126368486
2018-12-18 00:00:00,"Infrastructure, Services & Financial Products",0.00019393648322
2018-12-18 00:00:00,Trading & Exchanges,0.00034751609944999996
2018-12-19 00:00:00,"Infrastructure, Services & Financial Products",0.00019104381544
2018-12-19 00:00:00,Trading & Exchanges,0.00037923140521
2018-12-20 00:00:00,"Infrastructure, Services & Financial Products",0.00019147616527
2018-12-20 00:00:00,Trading & Exchanges,0.00037276482581
2018-12-21 00:00:00,"Infrastructure, Services & Financial Products",0.00019191051430000002
2018-12-21 00:00:00,Trading & Exchanges,0.00041641039202999997
2018-12-22 00:00:00,"Infrastructure, Services & Financial Products",0.00019120666149999998
2018-12-22 00:00:00,Trading & Exchanges,0.00040446781754000004
2018-12-23 00:00:00,"Infrastructure, Services & Financial Products",0.00019237412465000002
2018-12-23 00:00:00,Trading & Exchanges,0.00043292845316
2018-12-24 00:00:00,"Infrastructure, Services & Financial Products",0.00019235773697
2018-12-24 00:00:00,Trading & Exchanges,0.00047132632045
2018-12-25 00:00:00,"Infrastructure, Services & Financial Products",0.00019371748131999999
2018-12-25 00:00:00,Trading & Exchanges,0.00049986579863
